"","year","month","day","Temp","Sal","DO_mgl","pH","Turb"
"201",2007,7,20,26.7833333333333,22.3375,6.21979166666667,7.93541666666667,6.23157894736842
"202",2007,7,21,25.7052083333333,22.1458333333333,6.75833333333333,7.990625,18.625
"203",2007,7,22,25.2645833333333,21.39375,6.49895833333333,8.01979166666667,16.78125
"204",2007,7,23,25.2072916666667,20.3135416666667,7.434375,8.134375,11.3541666666667
"205",2007,7,24,26.09375,20.1645833333333,7.52395833333333,8.16979166666667,14.6086956521739
"206",2007,7,25,26.45,20.3,7.21458333333333,8.121875,5.95833333333333
"207",2007,7,26,26.9916666666667,20.1625,7.48020833333333,8.16875,3.20212765957447
"208",2007,7,27,27.5260416666667,20.1447916666667,7.209375,8.14895833333333,5.80208333333333
"209",2007,7,28,27.91875,20.315625,6.94270833333333,8.12083333333333,5.83157894736842
"210",2007,7,29,28.134375,20.35625,6.67916666666667,8.103125,6.6
"211",2007,7,30,27.76875,20.3354166666667,6.19270833333333,7.99791666666667,NA
"212",2007,7,31,28.3239583333333,20.4729166666667,7.209375,8.06979166666667,NA
"213",2007,8,1,28.5572916666667,21.0645833333333,7.64583333333333,8.11875,3.04838709677419
"214",2007,8,2,28.5864583333333,21.5375,7.17604166666667,8.10104166666667,6.52083333333333
"215",2007,8,3,28.6145833333333,21.5416666666667,6.53333333333333,8.06875,9.43010752688172
"216",2007,8,4,28.8677083333333,21.4197916666667,7.05416666666667,8.06770833333333,4.78888888888889
"217",2007,8,5,29.1229166666667,21.33125,6.41666666666667,8.01458333333333,6.36046511627907
"218",2007,8,6,28.5416666666667,21.1,6.91684210526316,8.02916666666667,6.06451612903226
"219",2007,8,7,29.35625,21.3760416666667,7.3125,8.021875,5.87719298245614
"220",2007,8,8,29.8479166666667,21.9166666666667,7.02395833333333,8.04375,5.35714285714286
"221",2007,8,9,30.965625,22.1427083333333,6.71473684210526,8.00833333333333,NA
"222",2007,8,10,29.6770833333333,21.9,6.26210526315789,7.70833333333333,NA
"223",2007,8,11,28.5083333333333,22.0572916666667,6.659375,7.78854166666667,NA
"224",2007,8,12,28.5145833333333,21.9395833333333,7.23020833333333,7.996875,NA
"225",2007,8,13,28.9104166666667,21.7416666666667,7.40625,7.971875,NA
"226",2007,8,14,28.165625,21.7885416666667,6.86979166666667,8.03541666666667,NA
"227",2007,8,15,27.88125,21.7958333333333,6.94479166666667,8.08229166666667,NA
"228",2007,8,16,28.4520833333333,21.74375,7.015625,8.10625,NA
"229",2007,8,17,28.0885416666667,21.9625,7.334375,8.07604166666667,NA
"230",2007,8,18,27.6802083333333,22.1729166666667,7.509375,8.07916666666667,NA
"231",2007,8,19,27.0635416666667,22.115625,7.08229166666667,8.06458333333333,NA
"232",2007,8,20,26.7114583333333,21.6854166666667,6.971875,8.00208333333333,NA
"233",2007,8,21,27.43125,21.9041666666667,7.234375,8.028125,NA
"234",2007,8,22,27.0791666666667,22.3260416666667,6.559375,7.98958333333333,12.5098039215686
"235",2007,8,23,26.390625,22.8260416666667,7.025,8.04270833333333,11.2197802197802
"236",2007,8,24,27.2666666666667,22.878125,6.940625,8.059375,14.4943820224719
